;FTSE UK Dividend+ Index;MSCI EM Emerging Markets High Dividend Yield Gross Total Return USD Index;FTSE 100 Total Return Index GBP;MSCI Daily TR Gross EM USD;MSCI United Kingdom High Dividend Yield Gross Total Return USD Index;MSCI UK Gross Total Return USD Index;MSCI Japan High Dividend Yield Gross Total Return USD;MSCI Daily TR Gross Europe Ex UK USD;MSCI USA Hdy Gross Total Return USD Index;MSCI Daily TR Gross USA USD;MSCI World HIGH DIVIDEND YIELD Gross Total Return Total Return USD Index;MSCI Daily TR Gross USA USD;MSCI World HIGH DIVIDEND YIELD Gross Total Return Total Return USD Index;MSCI Daily TR Gross World USD;S&P Europe 350 Dividends Aristocrats Total Return Index;S&P Europe 350 Gross Total Return Index;S&P/JPX Dividend Aristocrats Total Return Index;S&P 500 Dividend Aristocrats Total Return Index;S&P 500 Total Return Index;Topix Total Return Index JPY;S&P South Africa Dividend Aristocrats Index ZAR Gross TR;FTSE/JSE Africa All Share Index;FTSE/JSE Dividend+ Index Total Return Index
2023/05/22 00:00;2262,85;#N/A;8121,93;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;3611,02;#N/A;78050,43;#N/A
2023/05/19 00:00;2261,38;10134,01;8118,13;2467,767;2173,73;10207,41;4045,31;14082,86;5427,59;18559,56;2713,4;18559,56;2713,4;12912,34;449,312;4227,82;378,63;4018,997;8988,46;3587,44;4364,674;78175,82;643,76
2023/05/18 00:00;2260,35;10135,94;8102,88;2469,249;2173,69;10166,48;4044,47;13947,55;5427,58;18590,7;2702,77;18590,7;2702,77;12899,64;445,9;4201,21;379,65;4021,882;9001,25;3581,06;4334,002;77667,96;639,32
2023/05/17 00:00;2261,51;10090,66;8069,54;2463,018;2195,12;10173,59;4040,31;13944,97;5404,22;18407,57;2700,32;18407,57;2700,32;12809,12;443,621;4180,09;379,94;4014,344;8915,43;3540,82;4409,372;78390,74;648,35
2023/05/16 00:00;2277,49;10126,44;8098,63;2471,57;2206,86;10240,17;4037,74;14017,85;5350,66;18183,47;2696,13;18183,47;2696,13;12722,77;446,233;4184,66;378,28;3984,638;8808,95;3530,14;4374,346;77973,02;654,96
2023/05/15 00:00;2292,97;10137,96;8126,45;2466,567;2236,2;10287,67;4032,07;14074,39;5415,8;18310,46;2716,89;18310,46;2716,89;12799,51;448,099;4203,09;376,33;4030,82;8865,03;3509,69;4394,825;78261,65;659,71
2023/05/12 00:00;2284,15;10082,77;8102,33;2454,991;2219,2;10227,53;4025,16;14045,12;5403,98;18246;2710,68;18246;2710,68;12750,92;447,35;4191,55;370,22;4030,285;8837,68;3479,05;4393,451;78330,2;664,98
2023/05/11 00:00;2277,66;10168,28;8077,22;2467,138;2222,74;10235,47;4027,24;14047,98;5394,36;18276,22;2710,17;18276,22;2710,17;12771,9;446,734;4169,11;369,83;4024,449;8849,69;3456,95;4337,893;76997,16;647,21
2023/05/10 00:00;2292,79;10233,64;8076,09;2471,695;2266,8;10316,5;4055,32;14088,39;5418,17;18302,73;2722,08;18302,73;2722,08;12802,53;446,315;4166,97;370,74;4037,716;8862,85;3461,63;4420,848;77775,02;665,5
2023/05/09 00:00;2300,82;10294,22;8099,85;2478,133;2282,53;10348,3;4056,75;14121,25;5420;18214,93;2728,59;18214,93;2728,59;12768,53;447,326;4184,4;370,16;4037,2;8823,05;3480,94;4413,426;77776,87;673,06
2023/05/08 00:00;#N/A;10324,95;#N/A;2496,244;2283,24;10383,48;4005,78;14248,2;5445,85;18294,07;2738,33;18294,07;2738,33;12820,92;447,17;4193,72;365,73;4054,564;8863,01;3437,23;4477,329;78572,33;685,86
